last_update,station,city,state,country,latitude,longitude,pollutant_id,min_value,max_value,avg_value
05-09-2026,"Ashok Vihar, Delhi - DPCC",Delhi,Delhi,India,28.695381,77.181665,CO,37.0,106.0,74.0
05-09-2026,"Ashok Vihar, Delhi - DPCC",Delhi,Delhi,India,28.695381,77.181665,NH3,4.0,7.0,5.0
05-09-2026,"Ashok Vihar, Delhi - DPCC",Delhi,Delhi,India,28.695381,77.181665,NO2,16.0,38.0,21.0
05-09-2026,"Ashok Vihar, Delhi - DPCC",Delhi,Delhi,India,28.695381,77.181665,OZONE,5.0,7.0,6.0
05-09-2026,"Ashok Vihar, Delhi - DPCC",Delhi,Delhi,India,28.695381,77.181665,PM10,28.0,55.0,40.0
05-09-2026,"Ashok Vihar, Delhi - DPCC",Delhi,Delhi,India,28.695381,77.181665,PM2.5,8.0,48.0,33.0
05-09-2026,"Ashok Vihar, Delhi - DPCC",Delhi,Delhi,India,28.695381,77.181665,SO2,20.0,32.0,30.0
05-09-2026,"Ashta Vinayak Nagar, Hingoli - MPCB",Hingoli,Maharashtra,India,19.710842,77.151824,CO,14.0,32.0,20.0
05-09-2026,"Ashta Vinayak Nagar, Hingoli - MPCB",Hingoli,Maharashtra,India,19.710842,77.151824,NH3,1.0,4.0,2.0
05-09-2026,"Ashta Vinayak Nagar, Hingoli - MPCB",Hingoli,Maharashtra,India,19.710842,77.151824,NO2,4.0,23.0,8.0
05-09-2026,"Ashta Vinayak Nagar, Hingoli - MPCB",Hingoli,Maharashtra,India,19.710842,77.151824,OZONE,13.0,38.0,30.0
05-09-2026,"Ashta Vinayak Nagar, Hingoli - MPCB",Hingoli,Maharashtra,India,19.710842,77.151824,PM10,25.0,105.0,60.0
05-09-2026,"Ashta Vinayak Nagar, Hingoli - MPCB",Hingoli,Maharashtra,India,19.710842,77.151824,PM2.5,18.0,48.0,32.0
05-09-2026,"Ashta Vinayak Nagar, Hingoli - MPCB",Hingoli,Maharashtra,India,19.710842,77.151824,SO2,3.0,12.0,5.0
05-09-2026,"Aya Nagar, Delhi - IITM",Delhi,Delhi,India,28.4706914,77.1099364,CO,26.0,40.0,32.0
05-09-2026,"Aya Nagar, Delhi - IITM",Delhi,Delhi,India,28.4706914,77.1099364,NH3,,,
05-09-2026,"Aya Nagar, Delhi - IITM",Delhi,Delhi,India,28.4706914,77.1099364,NO2,13.0,35.0,21.0
05-09-2026,"Aya Nagar, Delhi - IITM",Delhi,Delhi,India,28.4706914,77.1099364,OZONE,7.0,23.0,15.0
05-09-2026,"Aya Nagar, Delhi - IITM",Delhi,Delhi,India,28.4706914,77.1099364,PM10,8.0,81.0,34.0
05-09-2026,"Aya Nagar, Delhi - IITM",Delhi,Delhi,India,28.4706914,77.1099364,PM2.5,6.0,75.0,31.0
05-09-2026,"Aya Nagar, Delhi - IITM",Delhi,Delhi,India,28.4706914,77.1099364,SO2,,,
05-09-2026,"B R Ambedkar University, Lucknow - UPPCB",Lucknow,Uttar Pradesh,India,26.766433,80.927299,CO,22.0,25.0,24.0
05-09-2026,"B R Ambedkar University, Lucknow - UPPCB",Lucknow,Uttar Pradesh,India,26.766433,80.927299,NH3,3.0,3.0,3.0
05-09-2026,"B R Ambedkar University, Lucknow - UPPCB",Lucknow,Uttar Pradesh,India,26.766433,80.927299,NO2,12.0,12.0,12.0
05-09-2026,"B R Ambedkar University, Lucknow - UPPCB",Lucknow,Uttar Pradesh,India,26.766433,80.927299,OZONE,11.0,33.0,20.0
05-09-2026,"B R Ambedkar University, Lucknow - UPPCB",Lucknow,Uttar Pradesh,India,26.766433,80.927299,PM10,13.0,45.0,22.0
05-09-2026,"B R Ambedkar University, Lucknow - UPPCB",Lucknow,Uttar Pradesh,India,26.766433,80.927299,PM2.5,3.0,29.0,19.0
05-09-2026,"B R Ambedkar University, Lucknow - UPPCB",Lucknow,Uttar Pradesh,India,26.766433,80.927299,SO2,28.0,36.0,31.0
05-09-2026,"Ballygunge, Kolkata - WBPCB",Kolkata,West Bengal,India,22.5367507,88.3638022,CO,21.0,57.0,36.0
05-09-2026,"Ballygunge, Kolkata - WBPCB",Kolkata,West Bengal,India,22.5367507,88.3638022,NH3,8.0,13.0,9.0
