country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value,collection_time
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",05-09-2026 21:00:00,28.531346,77.190156,NO2,17.0,39.0,26.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",05-09-2026 21:00:00,28.56789,77.250515,SO2,1.0,108.0,11.0,2026-09-05 16:37:06
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",05-09-2026 21:00:00,28.623763,77.287209,PM10,22.0,58.0,43.0,2026-09-05 16:37:06
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",05-09-2026 21:00:00,24.952822,84.002396,NH3,2.0,4.0,3.0,2026-09-05 16:37:06
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",05-09-2026 21:00:00,26.2271665,84.3570427,NO2,2.0,3.0,2.0,2026-09-05 16:37:06
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",05-09-2026 21:00:00,30.735567,76.775714,NO2,1.0,6.0,3.0,2026-09-05 16:37:06
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",05-09-2026 21:00:00,30.735567,76.775714,SO2,3.0,7.0,5.0,2026-09-05 16:37:06
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",05-09-2026 21:00:00,30.719859,76.738637,CO,34.0,48.0,40.0,2026-09-05 16:37:06
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",05-09-2026 21:00:00,21.194815,81.31477,CO,9.0,18.0,12.0,2026-09-05 16:37:06
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",05-09-2026 21:00:00,21.224231,81.40835,PM10,12.0,65.0,29.0,2026-09-05 16:37:06
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",05-09-2026 21:00:00,21.224231,81.40835,SO2,3.0,20.0,9.0,2026-09-05 16:37:06
